Date;Component;Affiliate Name;Class Name;Result;Is Personal Record;Personal Record Description;Performance Result Type;Comment;From Weightlifting Total
03/10/2017;Muscle Snatch + Hang Snatch + Snatch;CrossFit Sudurnes;12:00 Ólympískar lyftingar;6 x 1 @ 25 kg;FALSE;;Weight;;FALSE
02/20/2018;2x Power Clean + 2x P.Jerk;CrossFit Sudurnes;12:00 Ólympískar lyftingar;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
02/06/2018;Clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 3 @ 65 kg;FALSE;;Weight;;FALSE
05/27/2018;Back Squat;CrossFit Sudurnes;12:00 CrossFit;1 x 1 @ 90 kg;TRUE;PR by 10 kg vs. 70 on 10/02/2017;Weight;;FALSE
05/07/2018;Deadlift;CrossFit Sudurnes;18:30 CrossFit;4 x 3 @ 80 kg;FALSE;;Weight;;FALSE
04/30/2018;Push press + Push jerk;CrossFit XY;6:00 CF 2;5 x 4 @ 35 kg;FALSE;;Weight;;FALSE
04/30/2018;Clean Deadlift + Hang Power Clean + Jerk;CrossFit Sudurnes;12:00 CrossFit;1 x 1 @ 60 kg;FALSE;;Weight;;FALSE
03/29/2018;Push Press + Power Jerk;CrossFit Sudurnes;11:30 CrossFit;1 x 1 @ 45 kg;FALSE;;Weight;;FALSE
03/27/2018;Bench Press m. handlóð;CrossFit Sudurnes;16:30 CrossFit;4 x 10 @ 12.5 kg;TRUE;PR by 2.5 kg vs. 10 on 12/01/2017;Weight;;FALSE
03/27/2018;Double KB walking lunge;CrossFit Sudurnes;16:30 CrossFit;4 x 20 @ 12 kg;FALSE;;Weight;;FALSE
03/13/2018;Snatch;CrossFit Sudurnes;17:30 CrossFit;1 x 1 @ 50 kg;TRUE;PR by 7.5 kg vs. 32.5 on 11/03/2017;Weight;;FALSE
03/19/2018;Snatch;CrossFit Sudurnes;16:30 CrossFit;1 x 2 @ 35 kg;FALSE;;Weight;;FALSE
02/13/2018;Back Squat;CrossFit Sudurnes;18:30 CrossFit;1 x 8 @ 65 kg;TRUE;PR by 12.5 kg vs. 50 on 01/02/2018;Weight;;FALSE
02/09/2018;Deadlift;CrossFit Sudurnes;17:30 CrossFit;1 x 10 @ 85 kg;TRUE;;Weight;;FALSE
02/06/2018;Back Squat;CrossFit Sudurnes;6:00 CrossFit;1 x 12 @ 60 kg;FALSE;;Weight;;FALSE
02/14/2018;Deadlift;CrossFit Sudurnes;17:30 CrossFit;3 x 8 @ 80 kg;TRUE;PR by 2 sets vs. 1 on 01/19/2018;Weight;;FALSE
02/22/2018;Power Clean + Push Jerk;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 65 kg;TRUE;PR by 2.5 kg vs. 52.5 on 11/15/2017;Weight;;FALSE
01/12/2018;Power Snatch + Overhead squat;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 30 kg;FALSE;;Weight;;FALSE
01/09/2018;Power Snatch;CrossFit Sudurnes;19:30 Ólympískar lyftingar;10 x 3 @ 35 kg;TRUE;PR by 9 sets vs. 1 on 11/20/2017;Weight;;FALSE
01/01/2018;Power Clean;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 16 @ 35 kg;FALSE;;Weight;;FALSE
